,Title,Author,Published date,Format,Sale Price,Old Price,Category
7579,The Very Hungry Caterpillar,Eric Carle,30 Sep 2001,Board book,8.65,8.65,Childrens-Books
7580,The Ballad of Never After,Stephanie Garber,13 Sep 2022,Hardback,14.99,21.0,Childrens-Books
7581,Six of Crows: Collector's Edition,Leigh Bardugo,11 Oct 2018,Hardback,15.79,21.0,Childrens-Books
7582,Holi Colors,Rina Singh,13 Feb 2018,Board book,10.96,11.0,Childrens-Books
7583,She and her Cat,Makoto Shinkai,06 Oct 2022,Hardback,11.49,13.5,Childrens-Books
7584,The Bell Jar,Sylvia Plath,06 Oct 2022,Hardback,16.16,18.5,Childrens-Books
7585,"Let's Celebrate Holi! (Maya & Neel's India Adventure Series, Book 3)",Ajanta Chakraborty,08 Feb 2017,Paperback,12.64,13.4,Childrens-Books
7586,The Dragon's Promise,Elizabeth Lim,30 Aug 2022,Hardback,14.98,21.0,Childrens-Books
7587,Giraffes Can't Dance,Giles Andreae,01 May 2014,Paperback,7.98,9.0,Childrens-Books
7588,Stellarlune,Shannon Messenger,08 Nov 2022,Paperback,10.46,10.46,Childrens-Books
7589,Heartstopper Volume 2,Alice Oseman,11 May 2023,Hardback,21.0,21.0,Childrens-Books
7590,The Lion Inside,Rachel Bright,10 Mar 2016,Paperback,7.77,9.5,Childrens-Books
7591,Have You Filled A Bucket Today?,Carol McCloud,01 Oct 2015,Paperback,10.86,11.0,Childrens-Books
7592,Crooked Kingdom Collector's Edition,Leigh Bardugo,05 Sep 2019,Hardback,16.09,21.0,Childrens-Books
7593,Harry Potter and the Order of the Phoenix,J.K. Rowling,11 Oct 2022,Hardback,36.44,50.5,Childrens-Books
7594,Moon Rising (Wings of Fire Graphic Novel #6),Tui T. Sutherland,05 Jan 2023,Paperback,13.11,13.5,Childrens-Books
7595,A Psalm for the Wild-Built,Becky Chambers,13 Jul 2021,Hardback,17.1,21.5,Childrens-Books
7596,The Huge Bag of Worries,Virginia Ironside,06 Jan 2011,Paperback,8.35,9.0,Childrens-Books
